onet_soc_code,Low income,Lower middle income,Upper middle income,High income,occupation_title,external_score,external_source,atlas_feature
13-2053.00,0.6616541353383458,1.469387755102041,1.8253968253968254,2.10801393728223,Insurance Underwriters,0.99,Frey-Osborne,mean_exposure
13-2082.00,1.0,1.7452380952380953,2.123456790123457,2.451219512195122,Tax Preparers,0.99,Frey-Osborne,mean_exposure
23-2093.00,0.6447368421052632,1.4214285714285715,1.9675925925925926,2.3155487804878048,"Title Examiners, Abstractors, and Searchers",0.99,Frey-Osborne,mean_exposure
25-4031.00,0.9830220713073005,1.5124423963133642,1.8542413381123057,2.088906372934697,Library Technicians,0.99,Frey-Osborne,mean_exposure
41-9041.00,1.1885964912280702,1.9190476190476191,2.3858024691358026,2.636178861788618,Telemarketers,0.99,Frey-Osborne,mean_exposure
43-4141.00,1.3543859649122807,1.958095238095238,2.246913580246914,2.510569105691057,New Accounts Clerks,0.99,Frey-Osborne,mean_exposure
43-5011.00,0.9078947368421053,1.4964285714285714,1.9645061728395061,2.230691056910569,Cargo and Freight Agents,0.99,Frey-Osborne,mean_exposure
43-9021.00,1.4502923976608189,1.9174603174603175,2.337448559670782,2.5745257452574526,Data Entry Keyers,0.99,Frey-Osborne,mean_exposure
49-9064.00,0.431578947368421,0.7695238095238095,1.0691358024691358,1.302439024390244,Watch and Clock Repairers,0.99,Frey-Osborne,mean_exposure
51-6051.00,0.33492822966507174,0.92987012987013,1.3703703703703705,1.6274944567627496,"Sewers, Hand",0.99,Frey-Osborne,mean_exposure
51-9151.00,1.0896686159844053,1.7015873015873015,2.1275720164609053,2.3911472448057816,Photographic Process Workers and Processing Machine Operators,0.99,Frey-Osborne,mean_exposure
13-1031.00,0.6642468239564429,1.2896551724137932,1.7126436781609196,1.9823380992430615,"Claims Adjusters, Examiners, and Investigators",0.98,Frey-Osborne,mean_exposure
13-1032.00,0.5639097744360901,1.2571428571428571,1.6719576719576719,1.989547038327526,"Insurance Appraisers, Auto Damage",0.98,Frey-Osborne,mean_exposure
13-2041.00,1.2679425837320573,2.0051948051948054,2.292929292929293,2.549889135254989,Credit Analysts,0.98,Frey-Osborne,mean_exposure
13-2072.00,0.994736842105263,1.558095238095238,1.9567901234567902,2.2308943089430895,Loan Officers,0.98,Frey-Osborne,mean_exposure
29-9092.00,0.07756232686980609,0.19097744360902255,0.3508771929824561,0.4634146341463415,Genetic Counselors,1.5276669999999999,Felten AIOE,ai_material_share
13-2061.00,0.108359133126935,0.373109243697479,0.48148148148148145,0.599713055954089,Financial Examiners,1.526064,Felten AIOE,ai_material_share
15-2011.00,0.09824561403508772,0.23047619047619047,0.4,0.5593495934959349,Actuaries,1.516474,Felten AIOE,ai_material_share
13-1023.00,0.060941828254847646,0.35939849624060144,0.5984405458089669,0.7150192554557124,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509181,Felten AIOE,ai_material_share
13-2031.00,0.12550607287449392,0.3868131868131868,0.5925925925925926,0.7223264540337712,Budget Analysts,1.502988,Felten AIOE,ai_material_share
23-1023.00,0.017543859649122806,0.09251700680272108,0.13403880070546736,0.148664343786295,"Judges, Magistrate Judges, and Magistrates",1.496494,Felten AIOE,ai_material_share
43-3061.00,0.08033240997229917,0.2932330827067669,0.5165692007797271,0.6713735558408216,Procurement Clerks,1.487838,Felten AIOE,ai_material_share
13-2011.00,0.16696914700544466,0.46896551724137936,0.6334610472541506,0.7956265769554247,Accountants and Auditors,1.481956,Felten AIOE,ai_material_share
15-2021.00,0.10087719298245613,0.2976190476190476,0.4475308641975309,0.491869918699187,Mathematicians,1.472319,Felten AIOE,ai_material_share
23-1012.00,0.09064327485380116,0.353968253968254,0.51440329218107,0.6504065040650406,Judicial Law Clerks,1.462973,Felten AIOE,ai_material_share
11-9033.00,0.03898635477582846,0.15873015873015872,0.345679012345679,0.45799457994579945,"Education Administrators, Postsecondary",1.461149,Felten AIOE,ai_material_share
11-3031.00,0.16408668730650156,0.4235294117647059,0.5925925925925926,0.7216642754662841,Financial Managers,1.446232,Felten AIOE,ai_material_share
13-1141.00,0.1291866028708134,0.40649350649350646,0.6313131313131314,0.7937915742793792,"Compensation, Benefits, and Job Analysis Specialists",1.440985,Felten AIOE,ai_material_share
43-4041.00,0.10855263157894737,0.4035714285714286,0.5810185185185185,0.6905487804878049,"Credit Authorizers, Checkers, and Clerks",1.440296,Felten AIOE,ai_material_share
25-1125.00,0.08631578947368422,0.2217142857142857,0.3214814814814815,0.3838211382113821,"History Teachers, Postsecondary",1.43749,Felten AIOE,ai_material_share
11-2033.00,0.20723684210526316,0.2892857142857143,0.3263888888888889,0.3673780487804878,Fundraising Managers,1.0,Eloundou DV gamma,llm_like_share
11-3031.03,0.1763157894736842,0.4085714285714286,0.4944444444444444,0.5560975609756098,Investment Fund Managers,1.0,Eloundou DV gamma,llm_like_share
11-9121.00,0.10855263157894737,0.2,0.28703703703703703,0.37652439024390244,Natural Sciences Managers,1.0,Eloundou DV gamma,llm_like_share
11-9199.01,0.10331384015594541,0.346031746031746,0.45267489711934156,0.5718157181571816,Regulatory Affairs Managers,1.0,Eloundou DV gamma,llm_like_share
11-9199.10,0.1824561403508772,0.31238095238095237,0.35555555555555557,0.3886178861788618,Wind Energy Development Managers,1.0,Eloundou DV gamma,llm_like_share
13-1021.00,0.07017543859649122,0.1761904761904762,0.22530864197530864,0.23983739837398377,"Buyers and Purchasing Agents, Farm Products",1.0,Eloundou DV gamma,llm_like_share
13-1032.00,0.11278195488721804,0.3183673469387755,0.4708994708994709,0.4982578397212543,"Insurance Appraisers, Auto Damage",1.0,Eloundou DV gamma,llm_like_share
13-1041.08,0.11670480549199085,0.22732919254658385,0.26247987117552335,0.28525980911983034,Customs Brokers,1.0,Eloundou DV gamma,llm_like_share
13-1051.00,0.09774436090225563,0.2693877551020408,0.30687830687830686,0.30139372822299654,Cost Estimators,1.0,Eloundou DV gamma,llm_like_share
13-1081.01,0.15087719298245614,0.34,0.4074074074074074,0.4113821138211382,Logistics Engineers,1.0,Eloundou DV gamma,llm_like_share
13-1081.02,0.1494057724957555,0.2506912442396313,0.24731182795698925,0.24547600314712825,Logistics Analysts,1.0,Eloundou DV gamma,llm_like_share
13-1082.00,0.1631578947368421,0.21142857142857144,0.24814814814814815,0.27195121951219514,Project Management Specialists,1.0,Eloundou DV gamma,llm_like_share
13-1151.00,0.1868421052631579,0.37,0.4962962962962963,0.5536585365853658,Training and Development Specialists,1.0,Eloundou DV gamma,llm_like_share
13-1161.00,0.4979757085020243,0.7010989010989012,0.7378917378917379,0.7689180737961225,Market Research Analysts and Marketing Specialists,1.0,Eloundou DV gamma,llm_like_share
13-1161.01,0.3464912280701754,0.4912698412698413,0.5648148148148148,0.5819783197831978,Search Marketing Strategists,1.0,Eloundou DV gamma,llm_like_share
47-2071.00,0.4842105263157894,0.6157142857142858,0.75,0.8253530166880616,"Paving, Surfacing, and Tamping Equipment Operators",99.99999999999999,Webb Robot,physical_share
47-2072.00,0.431578947368421,0.7314285714285714,0.8444444444444444,0.9024390243902439,Pile Driver Operators,99.99999999999999,Webb Robot,physical_share
47-2073.00,0.3502024291497976,0.47912087912087914,0.586894586894587,0.6350844277673546,Operating Engineers and Other Construction Equipment Operators,99.99999999999999,Webb Robot,physical_share
37-2011.00,0.15037593984962405,0.2748299319727891,0.455026455026455,0.6167247386759581,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",98.0,Webb Robot,physical_share
47-4021.00,0.12894736842105264,0.3028571428571428,0.4666666666666667,0.5975609756097561,Elevator and Escalator Installers and Repairers,98.0,Webb Robot,physical_share
37-2012.00,0.12631578947368421,0.26571428571428574,0.5,0.7109756097560975,Maids and Housekeeping Cleaners,97.25,Webb Robot,physical_share
53-4011.00,0.07518796992481203,0.20816326530612245,0.291005291005291,0.31881533101045295,Locomotive Engineers,96.99999999999999,Webb Robot,physical_share
53-4013.00,0.16018306636155605,0.36894409937888195,0.4798711755233494,0.5493107104984093,"Rail Yard Engineers, Dinkey Operators, and Hostlers",96.99999999999999,Webb Robot,physical_share
53-4041.00,0.10526315789473684,0.1742857142857143,0.21481481481481482,0.23658536585365852,Subway and Streetcar Operators,96.99999999999999,Webb Robot,physical_share
53-7064.00,0.37280701754385964,0.6333333333333334,0.8024691358024691,0.8800813008130082,"Packers and Packagers, Hand",96.93333333333334,Webb Robot,physical_share
37-2021.00,0.145748987854251,0.232967032967033,0.3475783475783476,0.4333958724202627,Pest Control Workers,96.0,Webb Robot,physical_share
47-2221.00,0.18559556786703602,0.3684210526315789,0.5925925925925926,0.7201540436456997,Structural Iron and Steel Workers,96.0,Webb Robot,physical_share
47-3011.00,0.17192982456140352,0.31238095238095237,0.47901234567901235,0.6455284552845528,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",96.0,Webb Robot,physical_share
47-3012.00,0.2777777777777778,0.5349206349206349,0.7716049382716049,0.9105691056910568,Helpers--Carpenters,96.0,Webb Robot,physical_share
47-3013.00,0.26105263157894737,0.5142857142857142,0.7362962962962962,0.8253658536585367,Helpers--Electricians,96.0,Webb Robot,physical_share
