quadrant,task_label,high_country,low_country,high_rationale,low_rationale,jaccard,cosine
Q1,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures.",Singapore,Burundi,"In Singapore's tech-advanced setting, LLMs and code-generation tools automate significant portions of boilerplate coding and data structure analysis, though human oversight remains essential for complex system architecture and high-level requirements.","Global AI coding and data analysis tools are accessible in Burundi, primarily serving to increase the productivity of skilled professionals rather than replacing them in the local labor market.",0.1,0.34639707
Q1,Perform fluorescein angiography of the eye.,Singapore,Niger,"While AI algorithms enhance image analysis and retinal diagnostics, the physical procedure of administering dye and operating specialized angiography equipment remains highly clinical and requires direct human professional oversight for patient safety.","In Niger, the lack of widespread advanced medical infrastructure and the highly specialized, delicate nature of this clinical procedure make any significant labor-reallocation via automation unfeasible in 2026.",0.1052631578947368,0.35792416
Q1,Program lighting consoles or load automated lighting control systems onto consoles.,Puerto Rico (US),Mozambique,"Lighting programming relies on structured syntax and logic; automation via pre-programmed templates and external show-control software increasingly handles repetitive patching and cueing tasks, while still requiring expert creative oversight.","In Mozambique, this specialized technical task relies on human expertise for creative design and real-time execution; automation is limited to basic programmed sequences without meaningful labor-reallocating AI or advanced autonomous systems.",0.0975609756097561,0.3604681
Q1,Request repair services and wait for repair workers to arrive.,Ireland,South Sudan,"Automated ticketing systems and facility management software allow users to log requests directly into a database, removing the need for intermediary human communication and manual scheduling in typical Irish workplace settings.","In the context of South Sudan, limited digital infrastructure, lack of widespread automated maintenance dispatch systems, and reliance on manual communication render this task devoid of a credible automation margin.",0.1052631578947368,0.34059307
Q1,"Buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.",Australia,Burundi,"Trading is highly automatable through algorithmic execution and AI-driven predictive systems, which have largely displaced manual human order entry and routine portfolio management in the Australian financial markets.",Burundi's current financial infrastructure lacks the digital market integration and high-volume electronic trading systems required for credible task-level automation of securities trading.,0.0909090909090909,0.35589916
Q1,Plan or coordinate hydroelectric production operations to meet customer requirements.,Portugal,"Yemen, Rep.","Energy dispatch and production planning increasingly rely on algorithmic optimization systems, which recommend or automate scheduling decisions by processing weather forecasts, demand profiles, and complex reservoir constraints in the Portuguese market context.","Yemen's hydroelectric infrastructure is severely degraded or non-functional, making complex automated planning and coordination systems irrelevant in the 2026 country context.",0.1111111111111111,0.3485344
Q1,"Select and obtain materials and supplies, such as textbooks.",Kuwait,Afghanistan,"Procurement and supply chain platforms in Kuwait allow automation of order processing, inventory tracking, and standardized vendor selection, significantly reducing the administrative labor required for routine textbook and supply acquisition.","In the Afghanistan context, this task is fundamentally driven by localized administrative processes, variable supply chains, and specific educational needs that lack the standardized digital infrastructure for credible automation.",0.1111111111111111,0.35305375
Q1,Mark identification numbers or symbols onto patterns or templates.,Qatar,Sierra Leone,"Automated printing or laser-etching machinery can directly mark patterns and templates with high precision, replacing manual marking processes common in manufacturing sectors in Qatar.","In the Sierra Leonean context, this manual task is typically performed using basic physical tools without investment in advanced automated machinery or AI integration, resulting in only negligible automation potential.",0.088235294117647,0.3479549
Q1,"Select methods, techniques, or criteria for data warehousing evaluative procedures.","Korea, Rep.",Mali,Selecting criteria for data warehousing evaluation requires deep organizational context and strategic judgment that typical commercial software cannot substitute or substantively augment without a human expert driving the process.,This strategic task requires high-level business acumen and localized infrastructure context that is not amenable to current automated reallocation in the Malian market context.,0.09375,0.33933282
Q1,"Adjust and maintain industrial machinery, using control and regulating devices.",Hungary,Sierra Leone,"Industrial control systems in Hungary increasingly integrate adaptive logic, allowing automation to manage routine machine adjustments while humans focus on complex troubleshooting and non-routine process optimization.","In Sierra Leone's industrial context, machine maintenance remains highly manual and localized, with limited adoption of advanced automated monitoring or control systems that would materially substitute or augment human labor.",0.1025641025641025,0.36563748
Q1,"Estimate material requirements and costs, and present design to client for approval.",Israel,Malawi,"Cost estimation can be largely automated via rule-based software, while client presentation benefits from AI-driven drafting and visualization, though human judgment remains central for final approval and nuanced communication in Israel.","In the Malawian context, the task requires deep integration of local market supply chains, site-specific physical constraints, and interpersonal client negotiation, which remain human-driven despite the use of standard office productivity software.",0.0975609756097561,0.3671899
Q1,"Compile, log, or record testing or operational data for review and further analysis.","Hong Kong SAR, China","Somalia, Fed. Rep.","In Hong Kong's advanced digital environment, automated OCR and intelligent document processing systems can ingest, transcribe, and structure operational data from varied sources, largely replacing manual entry requirements.","In the current economic and infrastructure context of Somalia, data recording remains predominantly a manual task where digital tools serve as assistive interfaces rather than autonomous substitutes.",0.0857142857142857,0.36160985
Q1,Order the performance of corrective work when problems occur and recommend procedural changes to avoid such problems.,"Hong Kong SAR, China",Burkina Faso,"In Hong Kong's highly instrumented operational environments, AI-driven diagnostic systems can increasingly automate routine maintenance planning and recommend procedural optimizations, while humans retain high-level oversight for complex, non-routine strategic decisions.","This task requires high-level situational judgment and organizational authority to issue corrective orders and strategic recommendations, which lacks a credible automation margin in the typical operational context of Burkina Faso.",0.0952380952380952,0.3682551
Q1,Design and implement efforts to publicize events and promote sponsorships.,Kuwait,Chad,"While strategic planning and sponsorship relationship building remain human-centric, AI can automate significant portions of promotional content generation and campaign management, shifting the human role toward oversight and high-level strategy.","This task requires high-level strategic judgment, interpersonal negotiation, and local contextual networking which are not currently automatable in the specific, resource-constrained business environment of Chad.",0.0833333333333333,0.36124235
Q1,Tap and drill holes into pipes to introduce auxiliary lines or devices.,Belgium,Chad,"Pipe drilling in factory or high-volume settings is increasingly automated by CNC equipment, though field-based installation remains manual due to site variability and geometric constraints in Belgium.","In the Chadian context, this task involves manual physical craft requiring dexterity and on-site adaptation that automation solutions currently do not economically replace or materially augment in typical local industrial settings.",0.0833333333333333,0.3617077
Q2,Calculate costs for billings or commissions.,Saudi Arabia,Burundi,"Calculating costs, billings, and commissions is a deterministic, rule-based process involving structured financial data that is routinely and reliably automated by standard enterprise resource planning and accounting software in Saudi Arabia.","Calculating costs is inherently deterministic and standard business software in Burundi is already capable of automating these calculations, reducing the reliance on manual human arithmetic.",0.1212121212121212,0.6005092
Q2,Inventory stock to ensure that supplies and equipment are available in adequate amounts.,Russian Federation,Sierra Leone,"Automated inventory systems in Russian commercial settings integrate real-time tracking with replenishment rules, effectively reducing manual counting needs while assisting personnel with data-driven reorder alerts and demand-based prioritization.","In Sierra Leone's growing commercial sector, basic digital inventory systems allow for automating tracking and reordering processes, which can either replace manual recording or augment worker monitoring accuracy.",0.119047619047619,0.6015674
Q2,"Shrink, stretch, or block articles by hand to conform to original measurements, using forms, blocks, and steam.",United Kingdom,Syrian Arab Republic,"Automated steam-finishing and blocking machinery in modern UK textile manufacturing already substitutes for manual shaping and steaming, with mechanical control systems sufficient to execute these tasks without AI integration.","In the Syrian context, this task relies on manual labor and basic mechanical steam equipment; automation of garment shaping is not economically viable or feasible given typical, labor-intensive workshop conditions.",0.1212121212121212,0.60140646
Q2,Tack-weld fitted parts together.,Singapore,Madagascar,"In Singapore's advanced manufacturing sector, robotic welding cells using adaptive visual feedback can reliably execute precision tack-welding, though human oversight remains essential for complex, non-standard fit-ups and quality assurance.","In typical Madagascan workshop settings, tack-welding remains a highly manual, skilled craft task where physical positioning and precision are difficult to automate cost-effectively without heavy, bespoke robotic infrastructure.",0.119047619047619,0.60198015
Q2,"Position stock in furnaces, using tongs, chain hoists, or pry bars.",United States,Syrian Arab Republic,"Automation via industrial robotics or specialized material handling systems can replace human manual positioning in furnaces, which is dangerous and physically demanding, though AI is generally not required for this fixed-path automation.","In the Syrian context, industrial automation requires significant capital investment and stable infrastructure that is currently absent, making manual handling of furnace stock the only feasible method for typical workplaces.",0.1176470588235294,0.59883356
Q2,"Place and secure automatic counters, using power tools, and retrieve counters after counting periods end.",Switzerland,Mali,"This task requires significant manual dexterity and physical manipulation in unstructured environments, which remains beyond the capabilities of affordable, reliable robotic automation in typical 2026 Swiss workplaces.","In the Malian context, this task involves manual physical installation and retrieval of field equipment that requires dexterous on-site work and human judgment for site security, making large-scale automation economically unfeasible by 2026.",0.1176470588235294,0.5987011
Q2,Assemble large vessels in an on-site fabrication shop prior to installation to ensure proper fit.,New Zealand,Burkina Faso,"Assembling large vessels on-site involves high-variability physical conditions, complex rigging, and precision welding, making it resistant to full automation or material labor reduction in New Zealand's construction and manufacturing context.","The task requires highly variable, on-site physical manipulation and spatial judgment in environments with limited industrial infrastructure, making automation economically unfeasible and technically irrelevant for the foreseeable future in this country context.",0.119047619047619,0.5972316
Q2,Put in padding and shaping materials.,Slovak Republic,Sudan,"Automated material handling and specialized sewing robotics can replace manual insertion in large-scale garment manufacturing, which is economically feasible in the Slovakian industrial context for standardized apparel production.","This task requires high manual dexterity and complex tactile judgment, which are not currently automatable in typical apparel manufacturing settings in Sudan given the reliance on labor-intensive, manual production methods.",0.1176470588235294,0.6019445
Q2,Transport patients to the hospital or within the hospital.,Denmark,"Congo, Dem. Rep.","Autonomous mobile robots can handle routine patient transport, allowing human orderlies to focus on complex, high-acuity patient needs and safety oversight in modern Danish hospital environments.","Patient transport is a physical task requiring human care, judgment, and manual assistance, which remains non-automatable in the resource-constrained hospital settings typical of the DRC by 2026.",0.1176470588235294,0.60241336
Q2,"Tighten loose bolts, using wrenches, and test circuits and connections by opening and closing gates.",Chile,Sudan,"The task involves manual dexterity for bolt tightening and direct physical interaction with electrical circuits and industrial gates, which remains highly specific and non-routine for general automation in Chile.","This task consists of manual maintenance and physical operation requiring human intervention, lacking any credible economic automation margin for substitution or augmentation in typical Sudanese industrial settings.",0.1176470588235294,0.6025952
Q2,Conduct discharge planning and discharge patients.,Portugal,Rwanda,"Discharge coordination relies on complex administrative workflows where AI can automate scheduling, reconcile medications, and flag required follow-ups, though final medical sign-off and patient interaction require human clinical judgment in Portugal.","Discharge planning requires complex clinical and social judgments that cannot be substituted; software only provides administrative scheduling and documentation support, constituting assistive contact rather than material labor reduction.",0.1219512195121951,0.59690464
Q2,"Protect herds from predators, using trained dogs.",Oman,Mozambique,"Protecting livestock in varied terrain is a complex physical and observational task involving dynamic environmental interaction, for which no commercially viable robotic or automated alternative exists for typical agricultural settings.","This task relies on biological agents (trained dogs) and traditional husbandry practices, for which no automated substitute or augmentation technology is economically viable or relevant in typical Mozambican agricultural settings.",0.1212121212121212,0.60369056
Q2,Conduct evaluations of employees' performance.,New Zealand,Afghanistan,"While performance evaluation requires human judgment and sensitive interpersonal delivery, AI tools materially assist by aggregating data, synthesizing feedback, and drafting structured performance narratives, augmenting the evaluator's efficiency and objectivity.","Conducting formal performance evaluations relies heavily on human judgment, interpersonal communication, and organizational context, which are not currently automatable in the Afghan labor market context.",0.1176470588235294,0.5965931
Q2,Estimate and quote trade-in allowances.,Oman,Rwanda,"Automated appraisal systems leverage historical market data and image analysis to provide consistent, objective trade-in valuations, though final negotiation and inspection often require human judgment in the Omani retail market context.","Digital platforms in Rwanda can automate price estimation by processing asset condition and market data, reducing the need for manual appraisal while assisting human agents in delivering consistent, data-backed quotes.",0.1219512195121951,0.5960231
Q2,"Consult with product development personnel on product specifications, such as design, color, or packaging.",Poland,"Yemen, Rep.","Consultation and cross-functional negotiation require high levels of tacit knowledge, social intelligence, and strategic judgment that cannot be automated in a typical 2026 Polish workplace setting.","This task requires high-level professional judgment, interdisciplinary negotiation, and context-dependent creative alignment which currently available automation technology cannot feasibly replace or augment in the Yemeni market context.",0.1176470588235294,0.60416955
Q4,Monitor proceedings to ensure that all applicable rules and procedures are followed.,Norway,Afghanistan,Courtroom compliance monitoring requires high-level legal judgment and situational authority that cannot be reliably performed or delegated to automated systems in the typical legal environment of Norway.,"Monitoring courtroom proceedings requires high-level legal interpretation, discretionary judgment, and situational awareness that cannot be reliably performed by technology in the Afghan legal context.",0.44,0.70205116
Q4,"Initiate, facilitate, and moderate classroom discussions.",Switzerland,Niger,"Facilitating classroom discussions requires real-time emotional intelligence, nuanced interpersonal management, and pedagogical context that cannot be credibly automated in typical Swiss classroom settings by 2026.","Facilitating classroom discussions requires high-context interpersonal skills, real-time social nuance, and pedagogical authority that cannot be credibly automated in the Nigerien classroom context with currently available technology.",0.4615384615384615,0.7555846
Q4,Assess students' physical progress or needs.,Croatia,Burkina Faso,"Assessing physical progress and educational needs requires nuanced human observation, clinical judgment, and direct interpersonal interaction that technology cannot credibly substitute or materially augment in typical Croatian educational settings.","Assessing physical development and educational needs in Burkina Faso requires direct, nuanced human observation and cultural context that current technology cannot credibly replicate or meaningfully augment at scale.",0.4333333333333333,0.7141954
Q4,Accompany aircraft on flights to make in-flight adjustments and corrections.,Bulgaria,Mali,"This task is safety-critical and requires real-time, high-stakes human judgment and physical intervention that cannot be credibly reallocated to automation in any standard commercial or institutional aviation setting.","In-flight troubleshooting and adjustment requires high-stakes, real-time physical interaction and safety-critical judgment that cannot be automated in the Malian aviation context or globally without human presence.",0.4285714285714285,0.68837047
Q4,Assist in bus loading and unloading.,Saudi Arabia,"Yemen, Rep.","The task requires high-context physical safety oversight, behavioral supervision, and care for minors, which cannot be credibly automated or augmented by technology in standard 2026 workplace settings in Saudi Arabia.","The task requires high-touch physical supervision, care, and real-time social judgment regarding safety and student behavior, which cannot be credibly automated or augmented by technology in this context.",0.4444444444444444,0.74759936
Q4,"Manage activities such as audits, regulatory agency inspections, or product recalls.",Qatar,Uganda,"This task requires high-level professional judgment, regulatory negotiation, and crisis management which cannot be reliably or legally delegated to automated systems in the typical regulatory environment of Qatar.","This task requires high-level professional judgment, stakeholder negotiation, and complex crisis management which cannot be systematically automated, especially in the Ugandan regulatory and legal environment.",0.5217391304347826,0.7769459
Q4,Develop testing procedures.,Israel,"Somalia, Fed. Rep.","Designing complex scientific testing procedures requires high-level domain expertise, synthesis of multidisciplinary constraints, and regulatory judgment that remains beyond current automation capabilities in typical environmental research settings.","Designing unique environmental research procedures requires high-level scientific expertise, contextual adaptation, and complex synthesis that lacks a feasible, scalable, or credible automation margin in typical Somali professional settings.",0.4193548387096774,0.6995506
Q4,"Order or perform diagnostic tests such as skin pricks and intradermal, patch, or delayed hypersensitivity tests.",Portugal,Niger,"Conducting medical skin prick tests requires direct physical patient interaction, sterile procedure adherence, and immediate clinical judgment regarding adverse reactions, which cannot be automated in a typical 2026 clinical environment.","Conducting medical skin testing requires direct clinical judgment, patient interaction, and physical administration, which cannot be automated or significantly augmented in Niger's current healthcare infrastructure.",0.4285714285714285,0.7399303
Q4,"Observe signal lights on switchboards, and dial or press buttons to make connections.",Ireland,Syrian Arab Republic,Switchboard operation is a legacy task fully replaced by automated digital switching systems in modern telecommunications infrastructure; no credible human-labor economic margin exists for this task core.,"Manual switchboard operation is a legacy task that has been universally replaced by digital automated switching systems in modern telecommunications, including in the Syrian Arab Republic.",0.4347826086956521,0.75736725
Q4,Collaborate with field staff or customers to evaluate or diagnose problems and recommend possible solutions.,Israel,Uganda,"Resolving technical issues through active collaboration requires nuanced interpersonal judgment, context-dependent troubleshooting, and trust-building that remains fundamentally human-centric and resistant to meaningful labor-reallocation in typical Israeli workplace settings.","Resolving technical issues through collaboration requires high-touch interpersonal negotiation, empathy, and nuanced communication that remains fundamentally human-centric in the Ugandan workplace context.",0.4193548387096774,0.74590933
Q4,Perform therapeutic wound care.,Greece,"Somalia, Fed. Rep.","Therapeutic wound care requires patient-specific manual dexterity, clinical judgment, and direct physical interaction that cannot be reliably automated or meaningfully substituted by current technologies in a clinical setting.","Therapeutic wound care requires high-level physical dexterity, clinical judgment, and patient interaction that cannot be reliably or safely automated in typical Somali clinical settings by 2026.",0.52,0.7912333
Q4,"Dismantle defective machines for repair, using hand tools.",Denmark,Burundi,"Dismantling non-standardized defective machinery requires high dexterity, tactile feedback, and situational problem-solving in unstructured environments, making it largely resistant to current automation technologies in Denmark.","Dismantling non-standard, defective machinery requires significant dexterity, situational problem-solving, and adaptability to unstructured environments, which remains well beyond current automation feasibility in Burundi's infrastructure and market context.",0.4137931034482758,0.739161
Q4,"Rewire ignition systems, lights, and instrument panels.",Russian Federation,Niger,"This task requires complex manual manipulation, spatial navigation within confined vehicle spaces, and variable diagnostic troubleshooting, making it resistant to current automation technologies in standard automotive repair environments.","Automotive electrical repair in Niger requires complex manual manipulation, diagnostic intuition, and non-standardized vehicle environments, making current technological automation economically unfeasible for this task.",0.4074074074074074,0.6759075
Q4,Collect specimens for laboratory tests.,Croatia,Sierra Leone,"Collecting biological specimens requires complex manual dexterity, human patient interaction, and clinical judgment that currently lacks a credible, safe, and cost-effective automation pathway in standard Croatian clinical settings.","Collecting biological specimens requires complex physical patient interaction, sterile procedure, and clinical judgment that currently lacks a credible, safe, and deployable automation margin in the Sierra Leone clinical context.",0.4482758620689655,0.7834332
Q4,"Perform administrative duties, such as serving as department head.",Hungary,Niger,"High-level administrative leadership and direction require context-specific judgment, organizational authority, and complex interpersonal coordination that remain beyond the scope of current commercially viable automated systems in typical Hungarian workplace settings.","High-level administrative leadership and direction require complex judgment, interpersonal influence, and context-sensitive decision-making that remain outside the feasible range of automation for typical organizational settings in Niger.",0.40625,0.7329568
